host_is_superhost,city,country,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count
f,Melbourne,Australia,-37.85037842,144.9827922,Entire home/apt,4,1.0,2.0,2.0,145,3,2,100.0,t,1
f,Stonnington,Australia,-37.83582054,145.0090185,Entire home/apt,5,1.5,2.0,3.0,174,2,13,100.0,f,1
f,Darebin,Australia,-37.7187985,144.9937868,Entire home/apt,5,1.5,2.0,3.0,152,2,5,92.0,t,1
f,Stonnington,Australia,-37.83733736,145.0017725,Entire home/apt,1,1.0,1.0,1.0,120,1,3,80.0,t,1
f,Yarra,Australia,-37.79627126,144.9893439,Entire home/apt,4,1.0,2.0,1.0,100,1,3,90.0,t,3
t,Port Phillip,Australia,-37.87621902,144.9886144,Private room,1,1.0,1.0,1.0,55,3,58,98.0,f,1
f,Darebin,Australia,-37.77179765,145.0158652,Private room,1,1.0,1.0,1.0,40,4,18,94.0,f,3
f,Yarra Ranges,Australia,-37.91748361,145.3666127,Private room,4,1.0,2.0,2.0,80,1,5,95.0,t,1
f,Melbourne,Australia,-37.81600258,144.9370398,Entire home/apt,4,1.0,1.0,2.0,116,1,13,86.0,t,36
t,Yarra,Australia,-37.79054419,144.9838865,Private room,2,1.0,1.0,1.0,75,2,14,97.0,f,1
f,Whitehorse,Australia,-37.83511473,145.1205339,Private room,1,2.0,1.0,2.0,46,1,1,100.0,f,1
f,Port Phillip,Australia,-37.86323207,144.9989156,Entire home/apt,2,1.0,2.0,1.0,84,6,7,97.0,t,1
t,Melbourne,Australia,-37.80812016,144.9607486,Entire home/apt,2,1.0,1.0,1.0,599,1,4,95.0,t,38
f,Monash,Australia,-37.87959351,145.1031753,Private room,1,1.5,1.0,1.0,42,1,5,96.0,t,1
f,Stonnington,Australia,-37.83562566,144.9992042,Private room,2,1.5,1.0,1.0,60,1,2,90.0,f,2
f,Manningham,Australia,-37.79140184,145.1217708,Private room,2,1.0,1.0,2.0,90,1,6,87.0,f,6
t,Yarra,Australia,-37.79761581,144.9873807,Entire home/apt,2,1.0,1.0,1.0,129,2,47,99.0,t,1
f,Stonnington,Australia,-37.83789363,145.0084101,Entire home/apt,2,1.0,1.0,1.0,96,7,10,88.0,f,1
f,Port Phillip,Australia,-37.83614069,144.9674226,Entire home/apt,4,1.0,2.0,3.0,299,2,7,94.0,f,1
f,Yarra,Australia,-37.80447679,144.9753464,Entire home/apt,2,1.0,1.0,1.0,125,2,107,90.0,t,5
f,Port Phillip,Australia,-37.86342453,144.9846244,Entire home/apt,2,1.0,0.0,1.0,75,3,120,91.0,t,4
f,Melbourne,Australia,-37.81438211,144.9537793,Entire home/apt,4,1.0,2.0,2.0,190,2,2,100.0,t,16
f,Melbourne,Australia,-37.81273888,144.9887466,Entire home/apt,4,1.0,2.0,3.0,215,2,7,100.0,f,2
f,Stonnington,Australia,-37.83720353,144.9924741,Entire home/apt,2,1.0,1.0,1.0,101,3,10,88.0,t,1
f,Port Phillip,Australia,-37.88449133,144.9829611,Entire home/apt,4,3.5,2.0,2.0,695,5,1,100.0,f,1
f,Cardinia,Australia,-38.05896587,145.4944787,Private room,2,1.0,1.0,1.0,55,1,2,100.0,t,1
f,Yarra Ranges,Australia,-37.85503887,145.3592167,Entire home/apt,2,1.0,1.0,1.0,198,2,4,100.0,t,1
f,Melbourne,Australia,-37.818471,144.9647751,Entire home/apt,3,1.0,2.0,2.0,119,2,6,100.0,t,1
t,Moreland,Australia,-37.76900721,144.9686976,Entire home/apt,4,1.5,2.0,2.0,120,3,4,100.0,t,2
t,Melbourne,Australia,-37.82368311,144.9648583,Entire home/apt,6,1.0,2.0,2.0,174,2,116,98.0,t,3
f,Melbourne,Australia,-37.80406164,144.9686141,Entire home/apt,5,1.0,3.0,4.0,350,5,1,100.0,f,1
f,Frankston,Australia,-38.13403089,145.1218132,Entire home/apt,16,3.5,6.0,6.0,400,1,30,86.0,t,4
f,Melbourne,Australia,-37.81539001,144.9548485,Entire home/apt,6,1.0,2.0,3.0,169,1,70,95.0,t,4
t,Yarra,Australia,-37.80211244,144.9806687,Entire home/apt,2,2.0,1.0,1.0,91,1,1,100.0,f,2
f,Yarra,Australia,-37.80247207,144.9813105,Entire home/apt,4,1.5,2.0,2.0,350,4,8,95.0,t,1
f,Melbourne,Australia,-37.81529589,144.9524775,Entire home/apt,2,1.0,0.0,1.0,109,1,27,97.0,f,7
f,Boroondara,Australia,-37.82477647,145.0348835,Entire home/apt,5,1.0,2.0,3.0,129,3,71,94.0,t,1
f,Banyule,Australia,-37.73757104,145.0530729,Private room,2,1.0,1.0,1.0,50,1,8,95.0,f,1
f,Melbourne,Australia,-37.83008078,144.9868869,Entire home/apt,2,1.0,2.0,1.0,138,500,1,80.0,f,1
f,Melbourne,Australia,-37.82738974,144.9570947,Entire home/apt,3,1.0,2.0,2.0,125,1,9,98.0,t,36
f,Boroondara,Australia,-37.83583829,145.0373705,Entire home/apt,7,2.5,5.0,5.0,500,7,1,100.0,f,1
t,Melbourne,Australia,-37.8153623,144.9522705,Entire home/apt,3,1.0,0.0,1.0,109,1,224,96.0,f,5
f,Greater Dandenong,Australia,-37.98759081,145.2118695,Entire home/apt,6,2.0,3.0,4.0,280,7,1,100.0,f,6
t,Moreland,Australia,-37.76022749,144.9651232,Private room,4,1.0,2.0,2.0,90,2,1,80.0,f,4
f,Melbourne,Australia,-37.81789139,144.9459469,Entire home/apt,2,1.0,0.0,1.0,96,2,91,95.0,t,1
f,Port Phillip,Australia,-37.85922429,144.9706791,Entire home/apt,2,1.0,0.0,1.0,102,5,5,96.0,f,21
f,Moreland,Australia,-37.7768005,144.9765401,Entire home/apt,2,1.0,1.0,1.0,136,1,1,100.0,t,1
f,Melton,Australia,-37.67149088,144.5575005,Private room,2,1.0,1.0,1.0,46,1,12,92.0,t,2
f,Melbourne,Australia,-37.81470895,144.9524634,Entire home/apt,6,1.0,2.0,3.0,169,3,83,96.0,t,1
f,Melbourne,Australia,-37.81165822,144.9560675,Private room,2,1.0,1.0,1.0,90,1,8,100.0,f,1
f,Moonee Valley,Australia,-37.78538526,144.9372989,Private room,1,1.0,2.0,1.0,33,1,3,100.0,t,1
f,Yarra,Australia,-37.80549087,144.9861248,Entire home/apt,2,1.0,1.0,1.0,136,2,23,96.0,t,55
t,Monash,Australia,-37.90976042,145.1143984,Entire home/apt,4,1.0,0.0,2.0,93,1,47,98.0,t,1
f,Melbourne,Australia,-37.8163229,144.9646737,Entire home/apt,3,1.0,1.0,1.0,96,1,65,95.0,t,2
